Instance,Cplex,Simplex,Isolation,Local Search,Calinescu,Exponential Clocks,Buchbinder,Single Threshold 1,Single Threshold 2,Descending Threshold 1,Descending Threshold 2,Independent Threshold,3-Ingredient Mix,4-Ingredient Mix
20T2E3,2927.0,2927.0,3698.0,2928.2,2927.0,2927.0,2927.0,2927.0,2927.0,2927.0,2927.0,2927.0,2927.0,2927.0
20T2E4,2593.0,2593.0,3234.0,2595.2,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0
20T2E5,2735.0,2735.0,3415.0,2737.8,2735.0,2735.0,2735.0,2735.0,2735.0,2735.0,2735.0,2735.0,2735.0,2735.0
40T6E1,27962.0,27962.0,35709.0,27969.4,27962.0,27962.0,27962.0,27962.0,27962.0,27962.0,27962.0,27962.0,27962.0,27962.0
40T6E2,28800.0,28800.0,36884.0,28807.4,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0
40T6E3,28303.0,28303.0,36042.0,28308.6,28303.0,28303.0,28303.0,28303.0,28303.0,28303.0,28303.0,28303.0,28303.0,28303.0
40T6E4,28185.0,28185.0,36130.0,28192.8,28185.0,28185.0,28185.0,28185.0,28185.0,28185.0,28185.0,28185.0,28185.0,28185.0
40T6E5,28156.0,28156.0,35893.0,28157.2,28156.0,28156.0,28156.0,28156.0,28156.0,28156.0,28156.0,28156.0,28156.0,28156.0
80T6E1,34097.0,34097.0,41834.0,34105.2,34097.0,34097.0,34097.0,34097.0,34097.0,34097.0,34097.0,34097.0,34097.0,34097.0
80T6E2,33138.0,33138.0,41118.0,33142.4,33138.0,33138.0,33138.0,33138.0,33138.0,33138.0,33138.0,33138.0,33138.0,33138.0
80T6E3,33583.0,33583.0,41162.0,33592.8,33583.0,33583.0,33583.0,33583.0,33583.0,33583.0,33583.0,33583.0,33583.0,33583.0
80T6E4,34868.0,34868.0,42506.0,34877.2,34868.0,34868.0,34868.0,34868.0,34868.0,34868.0,34868.0,34868.0,34868.0,34868.0
80T6E5,33343.0,33343.0,41233.0,33344.4,33343.0,33343.0,33343.0,33343.0,33343.0,33343.0,33343.0,33343.0,33343.0,33343.0
