Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N1280K80M4N1,1280,5419,120,true,17518,0,5032,520.107,5804,600.096,1884283
N1280K80M4N2,1280,5405,120,true,17523,0,2899,297.532,5838,600.048,1884283
N1280K80M4N3,1280,5433,120,true,18214,0,1250,132.244,5656,600.005,1884283
N1280K80M4N4,1280,5438,120,true,17970,0,1231,124.406,5909,600.095,1884283
N1280K80M4N5,1280,5467,120,true,18418,0,4381,447.903,5868,600.055,1884283
N160K20M4N1,160,649,20,true,2152,0,137,1.86805,45483,600.008,1884283
N160K20M4N2,160,651,20,true,2041,0,1885,25.6118,44263,600.005,1884283
N160K20M4N3,160,653,20,true,1875,0,8107,113.584,43244,600.002,1884283
N160K20M4N4,160,644,20,true,2011,0,252,3.36012,45709,600.011,1884283
N160K20M4N5,160,660,20,true,2086,0,117,1.57278,44632,600.004,1884283
N2560K160M4N1,2560,10879,240,true,35758,0,1996,438.85,2726,600.071,1884283
N2560K160M4N2,2560,10894,240,true,35946,0,1858,412.535,2699,600.187,1884283
N2560K160M4N3,2560,10877,240,true,35887,0,2756,597.691,2767,600.077,1884283
N2560K160M4N4,2560,10873,240,true,36466,0,2754,589.11,2805,600.076,1884283
N2560K160M4N5,2560,10917,240,true,37840,0,2590,555.514,2798,600.196,1884283
N320K40M4N1,320,1309,40,true,4185,0,9693,235.713,24936,600.005,1884283
N320K40M4N2,320,1307,40,true,4018,0,3364,86.2111,23334,600.023,1884283
N320K40M4N3,320,1311,40,true,4475,0,11605,294.098,23647,600.013,1884283
N320K40M4N4,320,1306,40,true,3937,0,2467,61.8313,23756,600.012,1884283
N320K40M4N5,320,1311,40,true,4352,0,625,16.5779,22828,600.02,1884283
N5120K320M4N1,5120,21775,480,true,71389,0,1290,597.393,1296,600.179,1884283
N5120K320M4N2,5120,21803,480,true,72373,0,1274,590.238,1295,600.034,1884283
N640K80M4N1,640,2615,80,true,8463,0,10119,528.229,11492,600.003,1884283
N640K80M4N2,640,2636,80,true,8302,0,8603,439.274,11735,600.001,1884283
N640K80M4N3,640,2623,80,true,8494,0,663,33.2487,11936,600.014,1884283
N640K80M4N4,640,2624,80,true,8360,0,8729,441.478,11863,600.027,1884283
N640K80M4N5,640,2612,80,true,8446,0,10415,527.253,11849,600.03,1884283
