Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N5120K320M4N1,5120,21775,480,True,89458,14177,27,59.6862,28,61.8951,1694354
N5120K320M4N2,5120,21803,480,True,90609,15317,28,61.8185,28,61.8185,1694354
N640K80M4N1,640,2615,80,True,8494,1086,256,59.7196,258,60.1862,1694354
N640K80M4N2,640,2636,80,True,8350,1095,255,59.81,256,60.0443,1694354
N640K80M4N3,640,2623,80,True,8505,1711,256,59.922,257,60.156,1694354
N640K80M4N4,640,2624,80,True,8381,1074,255,59.5505,257,60.017,1694354
N640K80M4N5,640,2612,80,True,8458,1355,259,60.1791,259,60.1791,1694354
N1280K80M4N1,1280,5419,120,True,18434,2204,121,60.1553,121,60.1553,1884283
N1280K80M4N2,1280,5405,120,True,18387,2107,120,59.3218,122,60.3091,1884283
N1280K80M4N3,1280,5433,120,True,18981,1896,120,59.7525,121,60.2496,1884283
N1280K80M4N4,1280,5438,120,True,18861,3444,120,60.026,120,60.026,1884283
N1280K80M4N5,1280,5467,120,True,19247,1699,120,60.1339,120,60.1339,1884283
N160K20M4N1,160,649,20,True,2157,332,969,54.4681,1068,60.0226,1884283
N160K20M4N2,160,651,20,True,2033,231,436,24.3788,1075,60.0371,1884283
N160K20M4N3,160,653,20,True,1868,151,146,8.27197,1062,60.0139,1884283
N160K20M4N4,160,644,20,True,2008,249,536,30.2876,1062,60.0436,1884283
N160K20M4N5,160,660,20,True,2074,171,611,35.3584,1038,60.0395,1884283
N2560K160M4N1,2560,10879,240,True,41710,6306,57,60.5722,57,60.5722,1884283
N2560K160M4N2,2560,10894,240,True,42194,7609,54,57.365,57,60.5531,1884283
N2560K160M4N3,2560,10877,240,True,41154,7067,54,57.322,57,60.505,1884283
N2560K160M4N4,2560,10873,240,True,42496,6869,57,60.5444,57,60.5444,1884283
N2560K160M4N5,2560,10917,240,True,41951,5811,57,60.9404,57,60.9404,1884283
N320K40M4N1,320,1309,40,True,4188,727,285,32.6754,525,60.1037,1884283
N320K40M4N2,320,1307,40,True,4003,477,372,42.186,530,60.0644,1884283
N320K40M4N3,320,1311,40,True,4469,534,297,33.9502,526,60.0764,1884283
N320K40M4N4,320,1306,40,True,3953,348,411,46.769,528,60.0682,1884283
N320K40M4N5,320,1311,40,True,4344,436,307,35.095,525,60.0098,1884283
N5120K320M4N1,5120,21775,480,True,89361,15965,27,59.5638,28,61.7689,1884283
N5120K320M4N2,5120,21803,480,True,90353,15676,28,61.8356,28,61.8356,1884283
N640K80M4N1,640,2615,80,True,8495,868,255,59.3881,258,60.0848,1884283
N640K80M4N2,640,2636,80,True,8340,1121,255,59.8908,256,60.1257,1884283
N640K80M4N3,640,2623,80,True,8517,751,256,59.9298,257,60.1631,1884283
N640K80M4N4,640,2624,80,True,8403,1171,255,59.5557,257,60.0216,1884283
N640K80M4N5,640,2612,80,True,8459,972,259,60.2042,259,60.2042,1884283
N1280K80M4N1,1280,5419,120,True,18444,1858,120,59.7258,121,60.2229,1887782
N1280K80M4N2,1280,5405,120,True,18358,2778,121,60.0554,121,60.0554,1887782
N1280K80M4N3,1280,5433,120,True,18984,2850,118,58.8751,121,60.369,1887782
N1280K80M4N4,1280,5438,120,True,18860,3087,119,59.4924,121,60.4901,1887782
N1280K80M4N5,1280,5467,120,True,19355,2076,119,59.7204,120,60.2213,1887782
N160K20M4N1,160,649,20,True,2165,331,145,8.17857,1066,60.0219,1887782
N160K20M4N2,160,651,20,True,2034,160,137,7.6939,1071,60.024,1887782
N160K20M4N3,160,653,20,True,1867,383,150,8.44012,1069,60.0373,1887782
N160K20M4N4,160,644,20,True,2006,388,151,8.54109,1062,60.0316,1887782
N160K20M4N5,160,660,20,True,2075,162,177,10.2533,1038,60.0044,1887782
N2560K160M4N1,2560,10879,240,True,41861,6867,57,60.5573,57,60.5573,1887782
N2560K160M4N2,2560,10894,240,True,41849,7487,56,59.659,57,60.7233,1887782
N2560K160M4N3,2560,10877,240,True,41035,7048,49,51.9814,57,60.4692,1887782
N2560K160M4N4,2560,10873,240,True,42262,7575,55,58.6092,57,60.7414,1887782
N2560K160M4N5,2560,10917,240,True,42490,6913,57,60.7886,57,60.7886,1887782
N320K40M4N1,320,1309,40,True,4186,443,278,31.8632,524,60.0419,1887782
N320K40M4N2,320,1307,40,True,4003,534,218,24.8156,528,60.007,1887782
N320K40M4N3,320,1311,40,True,4468,534,260,29.6879,526,60.0409,1887782
N320K40M4N4,320,1306,40,True,3951,344,412,46.8651,528,60.0543,1887782
N320K40M4N5,320,1311,40,True,4345,364,480,54.8727,525,60.0193,1887782
N5120K320M4N1,5120,21775,480,True,89426,14519,28,61.7625,28,61.7625,1887782
N5120K320M4N2,5120,21803,480,True,90688,14559,26,57.4542,28,61.8739,1887782
N640K80M4N1,640,2615,80,True,8489,1482,258,60.0961,258,60.0961,1887782
N640K80M4N2,640,2636,80,True,8336,994,254,59.6033,256,60.0715,1887782
N640K80M4N3,640,2623,80,True,8504,1381,253,59.1583,257,60.0902,1887782
N640K80M4N4,640,2624,80,True,8393,1300,254,59.3748,257,60.0757,1887782
N640K80M4N5,640,2612,80,True,8460,699,258,59.9335,259,60.1656,1887782
