Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N1280K80M4N1,1280,5419,120,true,17517,0,3021,315.593,5736,600.019,1884283
N1280K80M4N2,1280,5405,120,true,17524,0,659,67.3332,5798,600.088,1884283
N1280K80M4N3,1280,5433,120,true,18212,0,3269,351.955,5577,600.039,1884283
N1280K80M4N4,1280,5438,120,true,17966,0,2373,242.529,5846,600.064,1884283
N1280K80M4N5,1280,5467,120,true,18429,0,4488,458.568,5863,600.034,1884283
N160K20M4N1,160,649,20,true,2152,0,158,2.12603,45388,600.003,1884283
N160K20M4N2,160,651,20,true,2041,0,26054,350.704,44661,600.007,1884283
N160K20M4N3,160,653,20,true,1877,0,204,2.87609,43205,600.005,1884283
N160K20M4N4,160,644,20,true,2010,0,3899,51.6156,45548,600.002,1884283
N160K20M4N5,160,660,20,true,2086,0,112,1.51249,45010,600.004,1884283
N2560K160M4N1,2560,10879,240,true,35747,0,2687,591.976,2724,600.151,1884283
N2560K160M4N2,2560,10894,240,true,35954,0,2576,571.139,2706,600.081,1884283
N2560K160M4N3,2560,10877,240,true,35860,0,2703,589.127,2753,600.122,1884283
N2560K160M4N4,2560,10873,240,true,36474,0,2775,590.172,2821,600.034,1884283
N2560K160M4N5,2560,10917,240,true,41428,0,2786,565.49,2949,600.07,1884283
N320K40M4N1,320,1309,40,true,4185,0,2304,56.9691,24365,600.009,1884283
N320K40M4N2,320,1307,40,true,4018,0,287,7.35829,23494,600.015,1884283
N320K40M4N3,320,1311,40,true,4476,0,2333,59.5956,23691,600.007,1884283
N320K40M4N4,320,1306,40,true,3937,0,1122,28.062,24058,600.015,1884283
N320K40M4N5,320,1311,40,true,4352,0,4975,129.423,23183,600.026,1884283
N5120K320M4N1,5120,21775,480,true,71471,0,1296,599.769,1297,600.235,1884283
N5120K320M4N2,5120,21803,480,true,72269,0,1296,600.132,1296,600.132,1884283
N640K80M4N1,640,2615,80,true,8462,0,7599,397.571,11472,600.033,1884283
N640K80M4N2,640,2636,80,true,8303,0,3302,169.041,11711,600.03,1884283
N640K80M4N3,640,2623,80,true,8494,0,10707,537.586,11944,600.022,1884283
N640K80M4N4,640,2624,80,true,8360,0,5901,299.779,11829,600.025,1884283
N640K80M4N5,640,2612,80,true,8451,0,8922,459.923,11633,600.042,1884283
