Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N1280K80M4N1,1280,5419,120,true,17554,0,579,59.2813,586,60.0002,1694354
N1280K80M4N2,1280,5405,120,true,17530,0,559,56.4872,594,60.0741,1694354
N1280K80M4N3,1280,5433,120,true,18224,0,557,59.3101,564,60.0542,1694354
N1280K80M4N4,1280,5438,120,true,18030,0,596,59.5615,601,60.0622,1694354
N1280K80M4N5,1280,5467,120,true,18454,0,581,58.8318,593,60.0661,1694354
N160K20M4N1,160,649,20,true,2152,0,179,2.38921,4519,60.0003,1694354
N160K20M4N2,160,651,20,true,2041,0,2251,31.1411,4346,60.0077,1694354
N160K20M4N3,160,653,20,true,1876,0,1425,20.0664,4280,60.0051,1694354
N160K20M4N4,160,644,20,true,2011,0,91,1.24237,4550,60.0116,1694354
N160K20M4N5,160,660,20,true,2085,0,2258,30.0631,4516,60.0077,1694354
N2560K160M4N1,2560,10879,240,true,36555,0,276,60.0278,276,60.0278,1694354
N2560K160M4N2,2560,10894,240,true,36699,0,274,60.0486,274,60.0486,1694354
N2560K160M4N3,2560,10877,240,true,42613,0,296,59.483,299,60.1109,1694354
N2560K160M4N4,2560,10873,240,true,37555,0,287,59.6919,289,60.1205,1694354
N2560K160M4N5,2560,10917,240,true,49643,0,315,60.066,315,60.066,1694354
N320K40M4N1,320,1309,40,true,4186,0,179,4.38307,2478,60.0013,1694354
N320K40M4N2,320,1307,40,true,4020,0,986,25.2768,2355,60.0153,1694354
N320K40M4N3,320,1311,40,true,4478,0,524,13.2945,2373,60.0096,1694354
N320K40M4N4,320,1306,40,true,3937,0,732,18.2492,2396,60.0035,1694354
N320K40M4N5,320,1311,40,true,4352,0,1355,35.4149,2302,60.0189,1694354
N5120K320M4N1,5120,21775,480,true,88235,0,136,60.412,136,60.412,1694354
N5120K320M4N2,5120,21803,480,true,90648,0,138,60.2197,138,60.2197,1694354
N640K80M4N1,640,2615,80,true,8464,0,845,44.0997,1150,60.0262,1694354
N640K80M4N2,640,2636,80,true,8305,0,889,45.3305,1176,60.0115,1694354
N640K80M4N3,640,2623,80,true,8503,0,521,25.9591,1200,60.0363,1694354
N640K80M4N4,640,2624,80,true,8365,0,549,28.1186,1172,60.0245,1694354
N640K80M4N5,640,2612,80,true,8459,0,911,45.9279,1190,60.0505,1694354
